customer_id,age,region,grade,tenure_months,visits,monthly_spend,satisfaction,churn
C0001,57.0,Daegu,silver,40,8,86300.0,3.0,0
C0002,38.0,Seoul,bronze,51,6,61600.0,2.0,0
C0003,46.0,Daegu,silver,15,6,90000.0,1.0,1
C0004,19.0,Busan,silver,54,7,31300.0,2.0,0
C0005,26.0,Seoul,gold,16,5,44100.0,2.0,1
C0006,37.0,Incheon,bronze,49,7,66400.0,3.0,0
C0007,27.0,Daegu,bronze,23,9,53300.0,3.0,0
C0008,50.0,Daegu,silver,54,6,70500.0,5.0,0
C0009,67.0,Seoul,bronze,57,3,53700.0,5.0,0
C0010,26.0,Busan,bronze,16,9,78100.0,2.0,0
C0011,30.0,Seoul,bronze,45,6,44000.0,5.0,0
C0012,44.0,Incheon,bronze,36,5,85000.0,3.0,0
C0013,62.0,Busan,bronze,22,4,72200.0,1.0,0
C0014,25.0,Daegu,bronze,43,7,64200.0,2.0,0
C0015,44.0,Seoul,bronze,72,7,68400.0,4.0,0
C0016,65.0,Seoul,bronze,1,11,104300.0,5.0,0
C0017,20.0,Busan,bronze,69,8,,2.0,1
C0018,24.0,Seoul,silver,62,4,39800.0,1.0,0
C0019,35.0,Daegu,bronze,39,6,60500.0,1.0,1
C0020,34.0,Busan,gold,44,5,42200.0,1.0,1
C0021,52.0,Daegu,gold,27,10,87300.0,4.0,0
C0022,44.0,Seoul,bronze,10,10,74300.0,3.0,0
C0023,19.0,Incheon,bronze,42,12,95100.0,3.0,0
C0024,48.0,Incheon,silver,59,6,67300.0,4.0,0
C0025,33.0,Daegu,silver,17,2,56600.0,5.0,0
C0026,58.0,Seoul,silver,52,6,75100.0,4.0,0
C0027,,,silver,54,6,58000.0,1.0,1
C0028,33.0,Seoul,silver,55,6,39000.0,3.0,0
C0029,48.0,Seoul,silver,25,9,75600.0,5.0,0
C0030,51.0,Busan,bronze,29,5,69400.0,4.0,0
C0031,47.0,Daegu,silver,30,10,,2.0,0
C0032,19.0,Incheon,bronze,62,4,36600.0,2.0,1
C0033,48.0,Seoul,silver,65,1,64000.0,5.0,0
C0034,28.0,Seoul,gold,30,5,53900.0,1.0,1
C0035,44.0,Busan,bronze,70,6,84300.0,3.0,0
C0036,22.0,Seoul,silver,42,7,48500.0,1.0,1
C0037,47.0,Seoul,bronze,28,3,83600.0,5.0,0
C0038,31.0,Busan,silver,1,5,43100.0,1.0,1
C0039,24.0,Seoul,bronze,44,8,,1.0,0
C0040,50.0,Busan,gold,47,6,55700.0,2.0,0
C0041,44.0,Seoul,bronze,70,4,84400.0,2.0,0
C0042,33.0,Daegu,gold,52,8,73100.0,3.0,0
C0043,60.0,Daegu,silver,3,1,54200.0,,1
C0044,35.0,Seoul,silver,41,8,80100.0,2.0,0
C0045,41.0,Daegu,silver,54,5,66200.0,3.0,0
C0046,44.0,Daegu,silver,36,3,75800.0,3.0,1
C0047,33.0,Seoul,gold,31,4,27900.0,5.0,0
C0048,47.0,Seoul,bronze,59,6,64300.0,3.0,0
C0049,34.0,Busan,silver,45,6,50200.0,3.0,0
C0050,36.0,Seoul,bronze,50,7,38100.0,4.0,1
C0051,59.0,Seoul,silver,34,8,99400.0,1.0,0
C0052,,Seoul,bronze,21,5,42100.0,4.0,1
C0053,,Daegu,silver,38,9,63800.0,5.0,0
C0054,62.0,Busan,silver,70,4,100900.0,2.0,0
C0055,,Daegu,bronze,44,6,87600.0,1.0,0
C0056,36.0,Daegu,silver,51,9,65100.0,2.0,0
C0057,19.0,Busan,silver,9,3,31100.0,2.0,1
C0058,37.0,Busan,silver,72,4,61900.0,3.0,0
C0059,37.0,Seoul,bronze,18,6,51700.0,,0
C0060,39.0,Seoul,silver,70,10,69500.0,3.0,0
C0061,27.0,Busan,gold,33,8,70600.0,1.0,1
C0062,,Busan,bronze,67,5,69600.0,2.0,0
C0063,,Busan,bronze,65,7,48100.0,4.0,0
C0064,22.0,Daegu,bronze,55,4,21900.0,2.0,1
C0065,50.0,Busan,silver,66,6,88200.0,3.0,0
C0066,68.0,Busan,bronze,44,5,87000.0,4.0,0
C0067,43.0,Busan,silver,62,7,59000.0,2.0,0
C0068,37.0,Seoul,silver,13,5,52300.0,4.0,0
C0069,39.0,Seoul,bronze,6,7,64700.0,2.0,1
C0070,49.0,Seoul,gold,40,7,82300.0,1.0,0
C0071,19.0,Seoul,silver,59,11,47000.0,2.0,0
C0072,43.0,Seoul,bronze,56,3,41200.0,3.0,0
C0073,36.0,Daegu,bronze,39,5,56700.0,1.0,0
C0074,65.0,Seoul,bronze,38,7,86700.0,5.0,0
C0075,39.0,Seoul,bronze,44,2,50400.0,3.0,0
C0076,63.0,Seoul,bronze,63,10,83900.0,1.0,0
C0077,27.0,Seoul,gold,61,7,58000.0,5.0,0
C0078,49.0,Busan,bronze,8,7,86600.0,5.0,0
C0079,45.0,Busan,bronze,43,7,75700.0,1.0,0
C0080,30.0,Daegu,silver,28,4,45500.0,1.0,1
C0081,43.0,Busan,silver,58,5,58500.0,2.0,0
C0082,57.0,Seoul,gold,37,12,,3.0,0
C0083,37.0,Daegu,silver,72,7,61800.0,4.0,0
C0084,19.0,Seoul,bronze,32,6,57400.0,3.0,1
C0085,41.0,Seoul,bronze,49,7,64900.0,4.0,0
C0086,29.0,Seoul,gold,8,4,32200.0,1.0,1
C0087,37.0,Daegu,silver,68,8,61000.0,4.0,0
C0088,40.0,Busan,gold,12,5,59400.0,5.0,1
C0089,,Seoul,bronze,28,5,33600.0,3.0,1
C0090,20.0,Busan,gold,61,13,78400.0,3.0,0
C0091,47.0,Seoul,silver,70,3,61200.0,2.0,0
C0092,34.0,Busan,bronze,35,10,83300.0,5.0,0
C0093,19.0,Seoul,silver,35,7,,1.0,1
C0094,,Seoul,silver,4,5,78900.0,2.0,0
C0095,,Seoul,bronze,71,5,50300.0,1.0,0
C0096,32.0,Busan,bronze,2,7,47400.0,5.0,0
C0097,24.0,Seoul,silver,2,6,45900.0,3.0,1
C0098,52.0,Seoul,bronze,35,4,58200.0,5.0,0
C0099,46.0,Seoul,bronze,1,5,,4.0,1
C0100,72.0,Incheon,bronze,12,8,93100.0,3.0,0
C0101,46.0,Incheon,bronze,46,6,60900.0,3.0,0
C0102,46.0,Busan,gold,51,7,62700.0,2.0,0
C0103,39.0,Seoul,silver,22,6,56500.0,3.0,1
C0104,52.0,Incheon,bronze,58,4,77700.0,4.0,0
C0105,49.0,Daegu,gold,44,6,71700.0,5.0,0
C0106,57.0,Daegu,gold,17,12,131400.0,3.0,0
C0107,34.0,Seoul,bronze,52,5,53600.0,5.0,0
C0108,35.0,Seoul,silver,43,12,78400.0,5.0,0
C0109,35.0,Seoul,bronze,59,7,60900.0,3.0,0
C0110,51.0,Incheon,gold,12,9,86800.0,3.0,0
C0111,60.0,,silver,17,4,76000.0,1.0,0
C0112,35.0,Seoul,silver,22,5,77400.0,2.0,1
C0113,35.0,Seoul,bronze,25,8,55000.0,5.0,0
C0114,45.0,Busan,gold,64,5,71800.0,1.0,0
C0115,38.0,Seoul,bronze,53,8,70300.0,2.0,0
C0116,53.0,Daegu,bronze,40,6,,4.0,0
C0117,19.0,Daegu,bronze,39,2,34700.0,2.0,1
C0118,30.0,Daegu,silver,64,6,67400.0,5.0,0
C0119,31.0,Seoul,bronze,33,8,51200.0,4.0,0
C0120,19.0,Busan,gold,17,5,38000.0,1.0,1
C0121,28.0,Busan,silver,10,5,25500.0,2.0,1
C0122,29.0,Busan,bronze,24,8,44600.0,4.0,1
C0123,38.0,Seoul,bronze,48,6,72000.0,5.0,0
C0124,55.0,Seoul,bronze,34,8,77500.0,5.0,0
C0125,38.0,Seoul,silver,31,7,50300.0,5.0,0
C0126,28.0,Busan,silver,35,7,57400.0,1.0,1
C0127,40.0,Seoul,bronze,71,1,33900.0,4.0,0
C0128,55.0,Seoul,silver,72,5,64900.0,1.0,0
C0129,28.0,Seoul,bronze,12,7,63500.0,1.0,1
C0130,29.0,Busan,silver,9,8,45800.0,4.0,1
C0131,48.0,Seoul,gold,18,11,78500.0,3.0,0
C0132,38.0,Incheon,silver,62,10,78000.0,4.0,0
C0133,49.0,Busan,silver,34,4,72500.0,5.0,0
C0134,41.0,Seoul,silver,63,5,72800.0,1.0,0
C0135,50.0,Busan,bronze,47,4,53800.0,3.0,0
C0136,28.0,Seoul,bronze,40,2,44800.0,5.0,0
C0137,41.0,Incheon,bronze,21,5,48500.0,3.0,0
C0138,38.0,Busan,silver,25,3,68700.0,3.0,1
C0139,25.0,Daegu,silver,11,8,42500.0,3.0,1
C0140,21.0,Seoul,silver,38,4,1032100.0,5.0,1
C0141,50.0,Busan,gold,21,3,49700.0,1.0,1
C0142,36.0,Busan,bronze,22,8,90200.0,5.0,0
C0143,28.0,Incheon,silver,3,3,44900.0,5.0,0
C0144,40.0,Busan,bronze,58,5,44800.0,5.0,0
C0145,56.0,Busan,bronze,68,8,77700.0,3.0,0
C0146,19.0,,silver,36,7,55900.0,3.0,0
C0147,22.0,Seoul,gold,39,8,66000.0,2.0,0
C0148,29.0,Busan,silver,67,8,58900.0,2.0,0
C0149,60.0,Seoul,bronze,37,6,79700.0,5.0,0
C0150,45.0,Seoul,silver,45,5,70600.0,3.0,0
C0151,51.0,Daegu,bronze,31,9,85300.0,4.0,0
C0152,26.0,Incheon,gold,38,3,20500.0,1.0,1
C0153,26.0,Seoul,silver,38,5,34600.0,4.0,0
C0154,47.0,Busan,bronze,52,4,61900.0,4.0,0
C0155,42.0,Seoul,bronze,44,2,60800.0,5.0,0
C0156,48.0,Busan,bronze,37,5,,,0
C0157,39.0,Seoul,gold,6,6,69700.0,3.0,0
C0158,45.0,Busan,bronze,66,8,77500.0,3.0,0
C0159,43.0,Daegu,silver,64,4,64500.0,3.0,0
C0160,51.0,Daegu,silver,14,7,67300.0,1.0,0
C0161,51.0,Seoul,silver,22,6,69300.0,3.0,0
C0162,20.0,Incheon,bronze,71,8,41700.0,2.0,1
C0163,19.0,Seoul,gold,24,3,1180100.0,4.0,1
C0164,54.0,Seoul,bronze,59,5,73600.0,2.0,0
C0165,56.0,Busan,silver,57,7,82000.0,3.0,0
C0166,28.0,Seoul,silver,62,4,50300.0,4.0,0
C0167,19.0,Daegu,silver,2,9,61500.0,1.0,1
C0168,42.0,Daegu,gold,35,5,61700.0,4.0,0
C0169,53.0,Seoul,bronze,41,3,67000.0,,0
C0170,64.0,Incheon,silver,61,2,65500.0,1.0,0
C0171,48.0,Seoul,bronze,17,5,69200.0,1.0,1
C0172,36.0,Busan,bronze,23,1,27900.0,5.0,1
C0173,29.0,Seoul,bronze,13,11,76700.0,2.0,1
C0174,41.0,Incheon,bronze,55,7,74300.0,,0
C0175,37.0,Seoul,bronze,72,6,50500.0,3.0,0
C0176,,Seoul,bronze,11,3,38400.0,2.0,1
C0177,68.0,Seoul,bronze,17,7,83100.0,2.0,0
C0178,64.0,Incheon,silver,23,5,72300.0,4.0,0
C0179,56.0,,silver,65,9,74700.0,1.0,0
C0180,29.0,Daegu,bronze,33,5,62300.0,3.0,1
C0181,52.0,Incheon,bronze,21,5,80600.0,2.0,0
C0182,49.0,Incheon,bronze,24,6,75700.0,1.0,1
C0183,47.0,Busan,silver,44,5,87000.0,2.0,1
C0184,57.0,Seoul,bronze,28,6,74200.0,,0
C0185,49.0,Daegu,bronze,11,8,114100.0,4.0,0
C0186,51.0,Busan,bronze,60,2,51600.0,1.0,0
C0187,49.0,Seoul,bronze,31,7,76600.0,5.0,0
C0188,45.0,Seoul,bronze,19,4,52500.0,5.0,1
C0189,19.0,Daegu,silver,53,4,38400.0,4.0,0
C0190,42.0,Seoul,silver,54,11,94000.0,5.0,0
C0191,34.0,Incheon,silver,12,6,54400.0,3.0,0
C0192,24.0,Seoul,silver,6,9,80700.0,5.0,0
C0193,63.0,Seoul,silver,4,6,84800.0,4.0,0
C0194,63.0,,bronze,56,5,80900.0,3.0,0
C0195,59.0,Seoul,silver,46,6,67400.0,1.0,1
C0196,44.0,Seoul,silver,58,2,53000.0,3.0,0
C0197,59.0,Busan,bronze,46,9,89300.0,5.0,0
C0198,41.0,Incheon,silver,29,5,50600.0,5.0,0
C0199,44.0,Seoul,bronze,43,5,51300.0,3.0,0
C0200,27.0,Seoul,silver,53,2,64800.0,2.0,1
C0201,46.0,Daegu,silver,29,6,63400.0,4.0,0
C0202,42.0,Incheon,gold,66,7,49700.0,1.0,0
C0203,24.0,Busan,gold,65,2,21600.0,1.0,1
C0204,40.0,Seoul,silver,58,6,60600.0,3.0,0
C0205,40.0,Seoul,silver,72,1,46800.0,5.0,0
C0206,64.0,Seoul,silver,29,8,97900.0,2.0,0
C0207,53.0,Seoul,bronze,9,6,,3.0,0
C0208,41.0,Busan,silver,35,6,54400.0,2.0,0
C0209,44.0,Seoul,bronze,54,6,68900.0,3.0,0
C0210,42.0,Busan,bronze,57,2,35700.0,1.0,0
C0211,38.0,Busan,bronze,28,3,39400.0,3.0,0
C0212,27.0,Busan,silver,22,5,34300.0,3.0,1
C0213,39.0,Seoul,bronze,33,5,41800.0,2.0,1
C0214,31.0,Daegu,bronze,58,10,82700.0,,0
C0215,25.0,Daegu,bronze,5,6,56000.0,4.0,1
C0216,48.0,Daegu,bronze,24,3,67500.0,1.0,1
C0217,46.0,Seoul,bronze,17,5,62900.0,1.0,1
C0218,19.0,Seoul,silver,59,13,81000.0,1.0,0
C0219,39.0,Incheon,bronze,34,4,30800.0,5.0,1
C0220,,Seoul,silver,7,10,101000.0,2.0,0
C0221,55.0,Seoul,gold,19,6,76800.0,1.0,0
C0222,54.0,Busan,bronze,4,10,98100.0,5.0,0
C0223,42.0,Busan,bronze,35,5,63400.0,1.0,1
C0224,30.0,Incheon,silver,72,6,40400.0,2.0,0
C0225,27.0,Seoul,bronze,41,8,39900.0,1.0,1
C0226,45.0,Incheon,bronze,63,6,57200.0,4.0,0
C0227,46.0,Seoul,gold,54,7,77600.0,4.0,0
