area,rooms,building_age,distance_station,floor,price
44.4,2,11,0.32,7,75100.0
78.0,2,28,0.81,25,92100.0
41.9,1,14,1.85,13,65800.0
147.6,5,30,1.81,16,158300.0
42.5,2,6,0.13,23,86500.0
56.8,3,13,0.65,18,90700.0
56.9,3,27,3.49,20,64300.0
45.1,2,4,0.48,18,78700.0
119.2,4,11,0.72,13,137300.0
147.0,5,27,0.84,16,147800.0
71.6,3,21,0.1,8,95400.0
49.7,1,28,2.04,23,65100.0
29.0,1,18,0.1,5,50500.0
77.7,3,30,0.49,23,99700.0
75.8,2,31,0.38,22,89600.0
67.1,2,35,1.34,4,64400.0
89.8,3,4,0.68,18,117700.0
94.3,4,21,1.92,25,112000.0
92.4,4,4,2.34,15,121800.0
75.8,3,8,0.25,9,102400.0
55.4,2,10,0.33,22,91100.0
101.3,3,23,1.46,13,112400.0
84.3,2,15,2.52,4,89100.0
107.1,4,31,4.88,7,94100.0
104.5,4,10,0.38,18,134800.0
47.0,2,22,2.88,12,69000.0
46.7,1,27,0.23,6,65700.0
64.4,2,35,,20,83700.0
56.5,3,8,2.58,4,86400.0
103.6,4,26,0.42,6,119200.0
93.1,3,3,0.27,12,116600.0
112.6,6,19,0.1,1,141000.0
94.3,4,14,1.47,10,116300.0
89.4,4,34,1.32,23,97800.0
115.2,5,27,5.88,24,109400.0
96.2,3,33,1.05,22,105400.0
85.8,3,30,0.32,9,89000.0
122.5,6,14,0.73,2,144700.0
87.0,4,26,0.1,21,101500.0
76.1,4,1,1.72,10,108800.0
62.2,3,20,2.04,19,79500.0
102.3,3,1,0.39,3,126300.0
116.2,5,26,0.48,17,125800.0
82.7,3,34,0.12,15,93600.0
,5,24,,24,144700.0
32.8,1,30,0.88,3,55800.0
82.6,2,8,1.19,11,106400.0
83.0,3,35,0.1,25,95800.0
65.1,2,19,,10,86300.0
146.0,4,24,0.54,17,157600.0
82.3,4,27,1.31,5,91100.0
73.4,4,23,1.23,19,93500.0
84.7,4,11,2.47,7,94800.0
31.9,1,22,3.13,15,54200.0
64.2,2,23,3.04,22,87700.0
109.6,5,30,0.64,17,122000.0
67.6,3,17,1.52,12,77600.0
62.4,2,18,0.26,5,87300.0
118.0,5,18,0.98,9,128500.0
118.8,5,4,0.57,22,143100.0
97.4,4,3,0.63,6,128100.0
72.2,3,0,2.36,17,102800.0
77.8,3,23,3.7,13,83600.0
63.1,3,15,0.65,9,85100.0
58.1,3,31,2.63,18,70600.0
56.8,3,25,0.91,10,74500.0
67.9,4,5,0.49,8,95600.0
57.1,2,3,0.77,14,88000.0
43.3,3,13,0.56,19,78300.0
89.7,4,33,0.25,22,102900.0
90.1,6,1,0.1,16,121400.0
128.2,4,6,0.1,17,155800.0
66.6,2,1,2.0,20,81500.0
91.7,4,14,1.3,7,109100.0
92.1,4,35,0.67,7,97100.0
77.4,4,24,0.99,13,96800.0
103.4,4,17,6.83,16,106200.0
104.2,5,5,0.87,17,138500.0
92.5,4,12,0.38,4,111900.0
77.4,3,18,1.91,20,99000.0
74.7,2,9,0.2,10,101600.0
48.4,3,25,1.39,22,61900.0
63.0,3,35,0.86,19,86800.0
67.8,3,7,1.25,25,91000.0
54.8,2,9,0.52,16,87400.0
95.4,4,4,0.78,14,125700.0
115.1,4,26,2.21,5,120300.0
60.4,3,16,0.14,10,85000.0
91.4,4,10,2.5,22,117200.0
57.1,2,7,2.84,10,71800.0
76.1,2,2,0.75,2,102600.0
66.1,2,17,1.97,7,79800.0
,4,24,1.55,15,108500.0
66.4,3,8,1.15,16,97600.0
110.3,4,0,2.2,25,141200.0
77.6,3,17,0.68,24,99500.0
67.1,2,24,2.91,14,81500.0
51.4,3,12,3.88,14,72500.0
90.6,3,9,1.52,21,108700.0
,4,5,0.34,2,130100.0
91.1,4,26,0.1,15,107000.0
142.2,4,31,0.79,12,138900.0
121.2,4,27,0.11,20,134500.0
76.0,4,18,0.74,21,102300.0
75.7,2,26,3.91,17,72000.0
96.2,4,14,2.26,17,105300.0
62.2,3,0,0.12,18,103000.0
114.3,4,13,0.36,15,129900.0
93.4,4,25,1.76,6,105700.0
90.7,4,23,4.88,8,98100.0
101.9,4,35,2.09,19,99200.0
128.8,6,35,0.24,16,129400.0
88.4,3,8,0.79,6,120400.0
81.1,3,0,2.5,22,110700.0
123.2,4,9,1.33,25,140400.0
109.2,4,31,0.73,16,112900.0
75.7,4,29,9.0,6,62700.0
84.1,3,3,2.0,24,105000.0
89.1,3,5,1.03,6,118000.0
93.4,3,20,1.81,11,101700.0
48.7,2,23,0.42,22,78600.0
43.9,3,35,2.93,14,52500.0
60.9,3,27,1.17,7,71700.0
58.9,2,7,1.87,3,80800.0
67.3,3,1,8.36,10,63400.0
100.5,4,22,1.11,17,115100.0
79.6,3,19,1.03,18,98500.0
89.1,3,33,1.22,6,99200.0
52.2,3,20,0.68,4,66000.0
72.0,1,18,1.37,18,94300.0
99.3,4,10,0.12,4,127300.0
99.5,4,3,3.1,2,124600.0
65.2,2,31,7.15,13,57800.0
88.2,5,29,1.09,15,109000.0
141.2,5,5,0.1,7,154300.0
83.5,3,25,0.55,6,101500.0
66.0,2,13,0.1,6,86800.0
79.5,3,15,0.27,9,93900.0
86.4,3,30,3.78,1,80000.0
80.1,2,30,0.81,1,87800.0
83.2,3,6,1.07,10,104600.0
46.5,3,11,1.3,1,76500.0
,2,29,0.38,8,65200.0
80.1,3,33,3.05,15,72900.0
79.7,3,2,1.59,1,112500.0
69.3,2,30,1.66,16,84200.0
79.4,4,17,1.19,16,96500.0
85.6,3,21,1.96,15,99300.0
107.1,4,2,0.86,16,139500.0
81.4,4,24,2.4,21,98500.0
94.4,3,24,1.32,2,104500.0
69.9,2,23,,5,92900.0
98.9,4,28,0.15,8,108100.0
93.8,4,34,0.76,18,104200.0
