date,store,category,quantity,unit_price,amount
2025-01-01,부산점,음료,22.0,3500,77000
2025-01-01,홍대점,음료,1.0,4200,4200
2025-01-01,부산점,음료,12.0,5800,69600
2025-01-01,강남점,샌드위치,20.0,3500,70000
2025-01-01,대구점,디저트,,8900,97900
2025-01-02,부산점,디저트,2.0,8900,17800
2025-01-02,대구점,샌드위치,12.0,5800,69600
2025-01-03,대구점,샌드위치,16.0,8900,142400
2025-01-03,강남점,베이커리,11.0,5800,63800
2025-01-03,부산점,디저트,15.0,3500,52500
2025-01-04,강남점,음료,16.0,3500,56000
2025-01-04,홍대점,베이커리,4.0,5800,23200
2025-01-04,부산점,음료,13.0,4200,54600
2025-01-04,홍대점,음료,2.0,3500,7000
2025-01-04,대구점,베이커리,5.0,6500,32500
2025-01-04,대구점,베이커리,23.0,8900,204700
2025-01-05,강남점,디저트,,4200,84000
2025-01-05,부산점,디저트,8.0,4200,33600
2025-01-05,홍대점,베이커리,20.0,8900,178000
2025-01-05,강남점,디저트,14.0,4200,58800
2025-01-05,홍대점,음료,20.0,5800,116000
2025-01-05,강남점,디저트,4.0,3500,14000
2025-01-05,홍대점,베이커리,7.0,6500,45500
2025-01-06,홍대점,디저트,18.0,3500,63000
2025-01-06,부산점,샌드위치,9.0,8900,80100
2025-01-06,부산점,샌드위치,15.0,3500,52500
2025-01-06,대구점,베이커리,17.0,5800,98600
2025-01-07,부산점,음료,3.0,4200,12600
2025-01-07,강남점,샌드위치,8.0,5800,46400
2025-01-07,홍대점,음료,17.0,3500,59500
2025-01-08,부산점,베이커리,22.0,4200,92400
2025-01-08,대구점,샌드위치,18.0,3500,63000
2025-01-08,대구점,베이커리,2.0,4200,8400
2025-01-09,대구점,베이커리,5.0,6500,32500
2025-01-09,부산점,음료,13.0,6500,84500
2025-01-09,강남점,베이커리,10.0,8900,89000
2025-01-09,홍대점,음료,7.0,6500,45500
2025-01-10,홍대점,디저트,4.0,5800,23200
2025-01-10,홍대점,음료,22.0,6500,143000
2025-01-11,부산점,디저트,2.0,6500,13000
2025-01-11,부산점,음료,5.0,6500,32500
2025-01-11,홍대점,디저트,12.0,3500,42000
2025-01-12,대구점,베이커리,,6500,104000
2025-01-12,부산점,음료,22.0,3500,77000
2025-01-12,부산점,샌드위치,9.0,8900,80100
2025-01-12,홍대점,음료,2.0,3500,7000
2025-01-12,대구점,음료,4.0,3500,14000
2025-01-13,부산점,샌드위치,4.0,3500,14000
2025-01-14,강남점,음료,10.0,3500,35000
2025-01-14,홍대점,디저트,24.0,5800,139200
2025-01-15,대구점,디저트,24.0,6500,156000
2025-01-15,부산점,샌드위치,13.0,4200,54600
2025-01-16,홍대점,베이커리,11.0,6500,71500
2025-01-16,대구점,베이커리,3.0,6500,19500
2025-01-16,대구점,베이커리,13.0,6500,84500
2025-01-16,대구점,베이커리,13.0,6500,84500
2025-01-16,강남점,베이커리,,4200,46200
2025-01-17,대구점,샌드위치,,8900,53400
2025-01-17,강남점,베이커리,14.0,3500,49000
2025-01-17,대구점,디저트,3.0,6500,19500
2025-01-18,대구점,디저트,5.0,4200,21000
2025-01-18,강남점,샌드위치,12.0,4200,50400
2025-01-18,대구점,샌드위치,4.0,3500,14000
2025-01-18,대구점,베이커리,8.0,3500,28000
2025-01-18,강남점,음료,6.0,8900,53400
2025-01-18,부산점,베이커리,18.0,3500,63000
2025-01-18,부산점,샌드위치,5.0,5800,29000
2025-01-18,홍대점,디저트,14.0,3500,49000
2025-01-18,강남점,디저트,10.0,8900,89000
2025-01-18,대구점,베이커리,6.0,3500,21000
2025-01-19,부산점,음료,11.0,5800,63800
2025-01-20,홍대점,디저트,6.0,4200,25200
2025-01-20,부산점,디저트,21.0,4200,88200
2025-01-20,강남점,베이커리,21.0,8900,186900
2025-01-20,부산점,샌드위치,19.0,5800,110200
